epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,3156.01,0.90397,0.49526,1.01413,0.92875,0.69618,0.78441,0.59074,0.83834,0.52875,0.94632,9.92633e-05,9.92633e-05,9.92633e-05
24,3262.15,0.88097,0.47658,1.01383,0.89136,0.72592,0.79084,0.60121,0.81623,0.52953,0.9408,7.70592e-05,7.70592e-05,7.70592e-05
25,3364.58,0.88267,0.47284,1.00483,0.89889,0.72909,0.79303,0.60451,0.79882,0.52159,0.93399,5.72976e-05,5.72976e-05,5.72976e-05
26,3459.26,0.84279,0.45758,0.98648,0.89616,0.73558,0.79593,0.59754,0.84599,0.52913,0.94278,4.01952e-05,4.01952e-05,4.01952e-05
27,3587.8,0.86623,0.46339,1.00068,0.89207,0.72749,0.79054,0.60011,0.82557,0.52618,0.93876,2.59392e-05,2.59392e-05,2.59392e-05
28,3711.27,0.87485,0.46559,1.00445,0.91608,0.71432,0.7908,0.59907,0.83397,0.52718,0.93945,1.4686e-05,1.4686e-05,1.4686e-05
29,3859.16,0.86664,0.4625,1.00202,0.92293,0.70725,0.7919,0.60126,0.82617,0.52427,0.93834,6.55869e-06,6.55869e-06,6.55869e-06
30,4035.05,0.87054,0.46147,1.00817,0.9174,0.71499,0.7904,0.60123,0.82925,0.52609,0.94076,1.64642e-06,1.64642e-06,1.64642e-06
1,131.244,1.08591,0.71849,1.09903,0.89257,0.7081,0.77815,0.56811,0.91789,0.56123,0.98902,0.0401647,0.000119457,0.000119457
2,270.232,1.04329,0.6879,1.07458,0.91805,0.69151,0.77759,0.58601,0.83337,0.57551,0.95396,0.0302845,0.000239221,0.000239221
3,424.947,1.00586,0.65659,1.0623,0.92107,0.68851,0.77546,0.57251,0.87741,0.58341,0.96809,0.0204033,0.00035804,0.00035804
4,543.426,1.03242,0.67405,1.07441,0.92015,0.70256,0.77198,0.56372,0.94236,0.60217,0.98595,0.0105205,0.000475211,0.000475211
5,656.515,1.06688,0.69349,1.08861,0.86434,0.70477,0.76631,0.57818,0.78429,0.57137,0.95072,0.000635289,0.000590041,0.000590041
6,780.633,1.10656,0.72707,1.11147,0.91731,0.68348,0.76928,0.51188,1.15538,0.65063,1.03136,0.000585317,0.000585317,0.000585317
7,913.24,1.10876,0.72725,1.10521,0.94101,0.67276,0.772,0.56067,0.95525,0.60803,0.98262,0.000578933,0.000578933,0.000578933
8,1044.13,1.08764,0.71005,1.09459,0.89723,0.7034,0.77462,0.55602,0.96227,0.61002,0.97907,0.000571448,0.000571448,0.000571448
9,1178.74,1.0612,0.69983,1.10001,0.91908,0.70742,0.77849,0.56254,0.91193,0.59007,0.97459,0.000562892,0.000562892,0.000562892
10,1293.23,1.05725,0.69319,1.08483,0.9112,0.69283,0.77661,0.56278,0.92046,0.57771,0.97654,0.000553299,0.000553299,0.000553299
11,1434.31,1.08656,0.71939,1.10246,0.8939,0.70644,0.78105,0.56902,0.93577,0.5769,0.98261,0.000542705,0.000542705,0.000542705
12,1552.18,1.09861,0.72822,1.10909,0.90463,0.69473,0.77621,0.56081,0.92373,0.57893,0.98468,0.000531154,0.000531154,0.000531154
13,1683.62,1.0599,0.71011,1.09003,0.8988,0.69346,0.77633,0.56447,0.91834,0.5893,0.98665,0.000518691,0.000518691,0.000518691
14,1805.96,1.08038,0.711,1.09464,0.89859,0.68991,0.76807,0.55061,0.95995,0.59919,0.98781,0.000505365,0.000505365,0.000505365
15,2054.19,1.08049,0.70682,1.10022,0.89623,0.69253,0.76534,0.54768,0.99277,0.60584,0.98705,0.000491228,0.000491228,0.000491228
16,2185.05,1.09002,0.72849,1.11092,0.90524,0.70991,0.77858,0.57713,0.86799,0.55809,0.96685,0.000476336,0.000476336,0.000476336
17,2307,1.09223,0.73,1.11223,0.89242,0.69967,0.7706,0.57937,0.8657,0.57233,0.9771,0.000460749,0.000460749,0.000460749
18,2464.23,1.09529,0.7179,1.10339,0.90098,0.70199,0.77841,0.55759,0.94343,0.59248,0.97246,0.000444527,0.000444527,0.000444527
19,2617.87,1.09388,0.71938,1.09879,0.89093,0.71057,0.77921,0.56782,0.91789,0.5649,0.96953,0.000427735,0.000427735,0.000427735
20,2746.37,1.08915,0.70619,1.10004,0.90908,0.70733,0.77938,0.5771,0.88988,0.55423,0.9692,0.000410438,0.000410438,0.000410438
21,2892.42,1.1273,0.74273,1.1179,0.92477,0.6924,0.77937,0.56421,0.9393,0.56229,0.97881,0.000392706,0.000392706,0.000392706
22,3023.1,1.1297,0.73599,1.12635,0.90119,0.71464,0.78088,0.56959,0.90668,0.55665,0.963,0.000374608,0.000374608,0.000374608
23,3215.38,1.12948,0.73586,1.12727,0.92938,0.69468,0.77983,0.58386,0.83023,0.55409,0.95683,0.000356216,0.000356216,0.000356216
24,3438.93,1.10769,0.72757,1.10654,0.91374,0.69905,0.77743,0.56768,0.89393,0.5627,0.9709,0.000337601,0.000337601,0.000337601
25,3613.03,1.11037,0.71033,1.11079,0.93575,0.69576,0.78635,0.57933,0.89281,0.55097,0.96395,0.000318839,0.000318839,0.000318839
26,3737.55,1.11367,0.72517,1.11329,0.93896,0.69266,0.78671,0.58677,0.84366,0.54048,0.94906,0.000300002,0.000300002,0.000300002
27,3899.33,1.10648,0.71734,1.11562,0.92752,0.69259,0.79167,0.58031,0.89497,0.56108,0.96984,0.000281164,0.000281164,0.000281164
